text,label,text_original,text_recovered,n_obf_detected,recovery_log,has_obfuscation
find a big butt bitch somewhere and get my nuts kissed,1,Find a big butt bitch somewhere and get my nuts kissed &#127911;&#127911;&#128252;&#127925;&#127925;&#127925;,find a big butt bitch somewhere and get my nuts kissed,0,,0
can we just wipe out this challenge and call it a day,0,Can we just wipe out this challenge and call it a day?,can we just wipe out this challenge and call it a day,0,,0
dooms white nubuck or leather for the upper of the foam makes them a pass to me white soles too,0,Dooms.. RT @Gutta_DaDon: White nubuck or leather for the upper of the foam makes them a pass to me. White soles too. http://t.co/QIVkEPtLKj,dooms white nubuck or leather for the upper of the foam makes them a pass to me white soles too,0,,0
never hurt your girlfriend to make a hoe happy,1,RT @djMemphis10: Never hurt your Girlfriend to make a hoe happy &#128175; #djmemphis10,never hurt your girlfriend to make a hoe happy djmemphis,0,,0
i've had shots go off where yellow smoke,0,@Boner4Tuna @TCC_Grouchy @Mrs__Met @Vortmax29 @LLMajer @dmb1031 @APLMom @Frogtox @KishkaAndPipiks I've had shots go off where yellow smoke,i have had shots go off where yellow smoke,0,,0
done for the yankees,0,Done for the Yankees,done for the yankees,0,,0
it is well known that supports cruelty to birds -sign this petition h&,0,RT @davidcomanhidy: It is well known that @centerplate supports cruelty to birds. #saveanimals-sign this petition: http://t.co/t07KZ5myEv h&#8230;,it is well known that supports cruelty to birds saveanimals sign this petition,0,,0
he's trash he said he's not doing collabs for anything less than mil naira like booyyyyyy,0,He's trash. &#8220;@jlojpg: @TRAPGURLRON he said he's not doing collabs for anything less than 10 mil naira like booyyyyyy &#128514;&#8221;,he is trash he said he is not doing collabs for anything less than ten mil naira like booy,1,booyyyyyy→booy[elongation],1
52% of the world's mammals birds reptiles amphibians and fish vanished between and 2010,0,"RT @Forbes: 52% of the world's mammals, birds, reptiles, amphibians &amp; fish vanished between 1970 &amp; 2010: http://t.co/MImizth0OZ http://t.co&#8230;",fifty two percent of the worlds mammals birds reptiles amphibians and fish vanished between one thousand nine hundred seventy and two thousand,0,,0
water whippin bitch that bobby buschi,1,Water whippin bitch that bobby buschi,water whippin bitch that bobby buschi,0,,0
i been to mushroom mountain once or twice but who's countin but nothin compares to these blue and yellow purple pills&,0,"I been to mushroom mountain
Once or twice but who's countin'
But nothin compares
To these blue &amp; yellow purple pills&#128156; http://t.co/fMjlVMEqDO",i been to mushroom mountain once or twice but whos countin but nothin compares to these blue and yellow purple pills,0,,0
i drink unicorn tears and they say blondes don't age well you look like you're ho&,0,RT @juliebenz: I drink unicorn tears... RT @thecarnage07: @juliebenz And they say blondes don't age well :) You look like you're 20 :) ho&#8230;,i drink unicorn tears and they say blondes do not age well you look like you are twenty,0,,0
we'll be together& ;yu gt a job hoe,1,&#8220;@lifeof_brandon: @100046729 we'll be together&#128521;&#8221;yu gt a job hoe.,we will be together yu gt a job hoe,0,,0
i been getting money i ain't worried 'bout a ho no matter the occasion i'ma always get the dough,1,"RT @MiSSKathEVO: #NoFilter I been getting money I ain't worried 'bout a ho, No matter the occasion I'ma always get the dough &#128539; http://t.co/&#8230;",nofilter i been getting money i is not worried bout a ho no matter the occasion i ma always get the dough,0,,0
i wonder if you females out here ever just sit around and think bout how yall hoes or how unfaithful yall really is,1,' I wonder if you females out here ever just sit around and think bout how yall hoes or how unfaithful Yall really is .,i wonder if you females out here ever just sit around and think bout how you all hoes or how unfaithful you all really is,0,,0
these hoes too familiar,1,RT @WhiteBoyCeezy: these hoes too familiar,these hoes too familiar,0,,0
they can't fit on that small ass street son& ;bitch you know what happen last time we was onyur st,1,&#8220;@Leelucas_: @darwinjames125 @100046729 they can't fit on that small ass street son&#8221;bitch you know what happen last time we was onyur st &#128514;,they cannot fit on that small ass street son bitch you know what happen last time we was onyur st,0,,0
lol robbing ain't the word damn you was robbing them bitches,1,"RT @KfromtheG: Lol robbing ain't the word ""@iSell_Pussy4EBT: Damn you was robbing them bitches @pebbles2day""",laughing out loud robbing is not the word damn you was robbing them bitches,0,,0
i'd rather follow some girls on instagram rather than have their bird brain tweets on my tl,0,I'd rather follow some girls on Instagram rather than have their bird brain tweets on my tl,i would rather follow some girls on instagram rather than have their bird brain tweets on my tl,0,,0
ariana grande built like a year old chinese boy bitch shaped like an iphone 3gs but niggas go crazy over her she no&,1,"RT @KillAllSimps: Ariana Grande built like a 13 year old Chinese boy, bitch shaped like an iPhone 3GS but niggas go crazy over her.. She no&#8230;",ariana grande built like a thirteen year old chinese boy bitch shaped like an iphone gs but niggas go crazy over her she,0,,0
just me or are there a lot of tweets from media tonight about election night food for the record cheese and crackers,0,RT @wcvbkelleyt: Just me or are there a lot of tweets from media tonight about election night food??!! For the record: cheese &amp; crackers @s&#8230;,just me or are there a lot of tweets from media tonight about election night food for the record cheese and crackers,0,,0
my auto correct makes me sound so fob,0,My auto correct makes me sound so FOB,my auto correct makes me sound so fob,0,,0
do it pussy,1,@LameAssNerd do it pussy,do it pussy,0,,0
apparently saying something nice to someone these days means you're trying to stick them with your poker get over yourselves bitches,1,"Apparently, saying something nice to someone these days means you're trying to stick them with your poker. Get over yourselves bitches.",apparently saying something nice to someone these days means you are trying to stick them with your poker get over yourselves bitches,0,,0
cheating on a good woman is like eating out of the trash instead going out for steak,0,RT @MensHumor: Cheating on a good woman is like eating out of the trash instead going out for steak. #truth,cheating on a good woman is like eating out of the trash instead going out for steak truth,0,,0
i love this ho,1,I love this ho @nerissaloren http://t.co/I5obSnjj,i love this ho,0,,0
that was my mock done on a simulator check it out pick your team how many rounds and go for it,0,@SportsGrind @RudyJay711 that was my mock done on a simulator check it out pick your team how many rounds and go for it,that was my mock done on a simulator check it out pick your team how many rounds and go for it,0,,0
you teabagger dunces want to eliminate education all together so you can groom more teabag voters lol,1,@SteveStockmanTX you teabagger dunces want to eliminate education all together so you can groom more teabag voters. Lol.#thedumbestteabagger,you teabagger dunces want to eliminate education all together so you can groom more teabag voters laughing out loud thedumbestteabagger,0,,0
the dating scene so wack out here dog& shit super trash,1,RT @JoeBudden: The dating scene so wack out here dog&#8230; shit super trash.,the dating scene so wack out here dog shit super trash,0,,0
"hey liberals,meet future majority leader of the us senate.enjoy payback is a bitch http:&",1,"RT @CzarZellem: Hey Liberals,meet @SenTedCruz, future majority leader of the US Senate.Enjoy. Payback is a bitch. #p2 #stoprush #waar http:&#8230;",hey liberals meet future majority leader of the us senate enjoy payback is a bitch p stoprush waar http,0,,0
i like being asian and all but it's a struggle having squinty eyes in every picture,0,RT @Anastacia_Cole: I like being Asian and all but it's a struggle having squinty eyes in every picture,i like being asian and all but it is a struggle having squinty eyes in every picture,0,,0
roy hibbert so trash it's unbelievable,1,Roy Hibbert so trash. It's unbelievable.,roy hibbert so trash it is unbelievable,0,,0
lol always with the complaining and crying just like when jeezy broke up with you cause your a moaning old bitch,1,"@FreddieGibbs Lol, always with the complaining and crying. Just like when Jeezy broke up with you cause your a moaning old bitch.",laughing out loud always with the complaining and crying just like when jeezy broke up with you because your a moaning old bitch,0,,0
when i make the paper ball into the trash can,0,RT @chilltweetss: when I make the paper ball into the trash can &#128168; http://t.co/Xnx2XEGACm,when i make the paper ball into the trash can,0,,0
stupid bitch!&,1,&#8220;@Chhicoo: @VSamone stupid bitch!&#8221; http://t.co/K7MyvFlWFg,stupid bitch,1,bitch!&,1
bitch duck on whore ass slut cunt ha biden it's gucci tho whatever nigea,1,Bitch duck on whore ass slut cunt ha Biden it's Gucci. Tho whatever. Nigea @mdsaab1 @t_jawad89,bitch duck on whore ass slut cunt ha biden it is gucci though whatever nigea,0,,0
who else remembers these bitches,1,RT @BrandonTweets__: Who else remembers these bitches http://t.co/MjrypfCjPd,who else remembers these bitches,0,,0
i want to obliterate this map its giving me nightmares,0,I want to obliterate this map; it’s giving me nightmares.,i want to obliterate this map it is giving me nightmares,0,,0
i love a bad bitch with a attitude idk why but a cutie that's a savage is sexy as fuck,1,"RT @HugMakeEm: I love a bad bitch with a attitude, idk why but a cutie that's a savage is sexy as fuck",i love a bad bitch with a attitude i do not know why but a cutie that is a savage is sexy as fuck,0,,0
i am so pleased and proud to have been announced the sole curator of the soundtrack for mockingjay part,0,RT @lordemusic: i am so pleased and proud to have been announced the sole curator of the soundtrack for MOCKINGJAY - PART 1,i am so pleased and proud to have been announced the sole curator of the soundtrack for mockingjay part one,0,,0
"you know how in superhero stories the best insult for superheroes dumb mooks can come up with is ""do-gooder",0,"RT @KyleKallgren: You know how in superhero stories the best insult for superheroes dumb mooks can come up with is ""do-gooder?"" #whiteknight",you know how in superhero stories the best insult for superheroes dumb mooks can come up with is do gooder whiteknight,0,,0
i don't care how pretty you are if your personality is trash men are going to treat you accordingly that's not tru&,0,"RT @SeanTheTerrible: I don't care how pretty you are, if your personality is trash men are going to treat you accordingly.. That's not tru&#8230;",i do not care how pretty you are if your personality is trash men are going to treat you accordingly that is not,0,,0
in other words call you a bitch,1,In other words call you a bitch.,in other words call you a bitch,0,,0
looks like the will be competing with for the east cellar this year,0,Looks like the #Yankees will be competing with #Boston for the East cellar this year #MLB,looks like the yankees will be competing with boston for the east cellar this year mlb,0,,0
"ratchet bitches be like ""my name is shaniqua asssofathairsoreal brown get it right *claps*",1,"RT @mabelsay: Ratchet bitches be like ""my name is Shaniqua assSofatHairSoReal brown get *claps* it *claps* right *claps*""",ratchet bitches be like my name is shaniqua asofathairsoreal brown get claps it claps right claps,2,asssofathairsoreal→asofathairsoreal[elongation]; *claps*→cleanse[masking],1
starts making monkey faces behind you,0,@MissMulgra Starts making monkey faces behind you,starts making monkey faces behind you,0,,0
i tell u this tho if/when u nigger women start getting cornrows again.mannn just don't do it,1,"I tell u this tho, if/when u nigger women start getting cornrows again...mannn just don't do it",i tell you this though if when you nigger women start getting cornrows again man just do not do it,0,,0
i don't understand the need for multiple autopsies i guess they're going to keep on until they can slant against the officer,0,"@megynkelly 
I don't understand the need for multiple autopsies. I guess they're going to keep on until they can slant 1 against the officer",i do not understand the need for multiple autopsies i guess they are going to keep on until they can slant one against the officer,0,,0
i could destroy my achievements list with all these losses,0,I could destroy my achievements list with all these losses.,i could destroy my achievements list with all these losses,0,,0
fucc nicca,1,#UMightNotGetIn &#128514;&#128514;&#128514; fucc nicca #BeerandTacOS #WeTheLastOnesLeft http://t.co/45FV79CV0z,umightnotgetin fucc nicca beerandtacos wethelastonesleft,0,,0
with pick up lines like you have.i bet you get so much pussy the numbers are in the negative,1,"@RealFannyMagnet with pick up lines like you have...I bet you get so much pussy, the numbers are in the negative.",with pick up lines like you have i bet you get so much pussy the numbers are in the negative,0,,0
i didn't mock anything was asked i believed in noah's arc and said no how is that mocking any religion opinion that's all,0,"@mafenske I didn't mock anything! Was asked I believed in Noah's arc and said no, how is that mocking any religion? Opinion that's all",i did not mock anything was asked i believed in noahs arc and said no how is that mocking any religion opinion that is all,0,,0
h.g.wells and charlie chaplin,0,"""@oldpicsarchive: H.G.Wells and Charlie Chaplin http://t.co/sTiDDHK3WT"" #History #Photography",h g wells and charlie chaplin history photography,0,,0
"someone gave me a nip of baileys irish cream coffee what can i use it with,suggestions",0,"@PhantomGourmet Someone gave me a nip of Baileys irish cream coffee, what can i use it with,suggestions?",someone gave me a nip of baileys irish cream coffee what can i use it with suggestions,0,,0
u look like that fat kid on charlie walker the that got stuck it the chocolate tube,0,@Midnight_Snacka @Nick_504_ u look like that fat kid on Charlie walker the that got stuck it the chocolate tube.,you look like that fat kid on charlie walker the that got stuck it the chocolate tube,0,,0
lightup sketchers definition kick your feet together and watch the bitches flock sentence blinding bitches when yo&,1,"RT @ChaBoyLilBill: Lightup Sketchers,

Definition: kick your feet together and watch the bitches flock.

Sentence: blinding bitches when yo&#8230;",lightup sketchers definition kick your feet together and watch the bitches flock sentence blinding bitches when,0,,0
double up on this game bitch,1,@AceAlford_23 double up on this game bitch,double up on this game bitch,0,,0
over bitches trying to act like i own them a picture,1,Over bitches trying to act like I own them a picture,over bitches trying to act like i own them a picture,0,,0
let's run a train on this bitch,1,Let's run a train on this bitch,let us run a train on this bitch,0,,0
i cuff no hoes,1,I cuff no hoes,i cuff no hoes,0,,0
why would you think common is trash tf,0,Why would you think Common is trash? Tf,why would you think common is trash tf,0,,0
nice pussy,1,@M_Carbonaro Nice pussy.,nice pussy,0,,0
car hopping is a different world these ghetto guys tried asking for my number lol& did they have to be ghetto tho,0,&#8220;@wassssupsarah: Car hopping is a different world these ghetto guys tried asking for my number LOL&#8221; did they have to be ghetto Tho ?,car hopping is a different world these ghetto guys tried asking for my number laughing out loud did they have to be ghetto though,0,,0
fuck these hoes im gone,1,Fuck these hoes im gone &#9996;&#65039;,fuck these hoes i am gone,0,,0
you're stuck on ghetto middle school days step our g wtf how ah i stuck in the middle school games jusy bc,0,You're stuck on ghetto middle school days. Step our g... &#8212; wtf how ah I stuck in the middle school games jusy bc... http://t.co/hJnV01NTGB,you are stuck on ghetto middle school days step our g what the fuck how ah i stuck in the middle school games jusy because,0,,0
these bitches self esteem built off likes and their principles built off instagram memes,1,RT @TAXSTONE: These bitches self esteem built off likes and their principles built off Instagram memes,these bitches self esteem built off likes and their principles built off instagram memes,0,,0
fuck you bitch i have to fucking piss i take seconds you take fucking minutes,1,Fuck you bitch I have to fucking piss I take 30 seconds you take 5 fucking minutes &#128545;&#128545;&#128545;&#128545;,fuck you bitch i have to fucking piss i take thirty seconds you take five fucking minutes,0,,0
hmu when you stop bein a lil bitch,1,RT @CraziestSex: hmu when you stop bein a lil bitch,hmu when you stop bein a lil bitch,0,,0
wiz is garbage to be put in the trash can known as beyonc& to be put in a dumpster known as the vmas,0,RT @BroganWebber: Wiz is garbage to be put in the trash can known as Beyonc&#233; to be put in a dumpster known as the VMAs.,wiz is garbage to be put in the trash can known as beyonce to be put in a dumpster known as the vmas,0,,0
i wonder if those fans in la feel like charlie brown after lucy pulls the ball away,0,RT @blogredmachine: I wonder if those fans in LA feel like Charlie Brown after Lucy pulls the ball away... #JoeyVotto,i wonder if those fans in la feel like charlie brown after lucy pulls the ball away joeyvotto,0,,0
it's a brand new day and the birds they chirpin,0,it's a brand new day and the birds they chirpin,it is a brand new day and the birds they chirpin,0,,0
apparently im a honky pfft like that's a bad thing,0,Apparently im a honky. Pfft. Like that's a bad thing.,apparently i am a honky pfft like that is a bad thing,0,,0
lmao your just a dumb hoe that budden made popular please stop your irrelevant and no one cares about you slut,1,"@TheRealTahiry lmao, your just a dumb hoe that budden made popular, please stop, your irrelevant and no one cares about you slut.",laughing out loud your just a dumb hoe that budden made popular please stop your irrelevant and no one cares about you slut,0,,0
bitches get stuff done,1,&#128514;&#128514; bitches get stuff done. http://t.co/GvFpk65ah5,bitches get stuff done,0,,0
kim kardashian had a baby.in more important news i took out the trash last night,0,"RT @MensHumor: Kim Kardashian had a baby...in more important news, I took out the trash last night.",kim kardashian had a baby in more important news i took out the trash last night,0,,0
and vice versa 9/10 he has hoes,1,And vice versa RT @_Kimchanel_: 9/10 he has hoes,and vice versa nine ten he has hoes,0,,0
if she dont appreciate that and say yes the bitch aint real,1,If she dont appreciate that and say yes. The bitch aint real.,if she do not appreciate that and say yes the bitch is not real,0,,0
twitter jail is pointless your suppose to tweet they need instagram jail for hoes doing shout out for shout out all,1,"RT @ThugginLegally_: Twitter jail is pointless your suppose to tweet , they need instagram jail for hoes doing Shout out for shout out all &#8230;",twitter jail is pointless your suppose to tweet they need instagram jail for hoes doing shout out for shout out,0,,0
hey the jig is up even democrats are through with you dems are raci&,0,"RT @navy8r: ""@Sierra0559: Hey @BarackObama , the jig is up. Even democrats are through with you. #ReasonToExitAnObamaSpeech"" dems are raci&#8230;",hey the jig is up even democrats are through with you reasontoexitanobamaspeech dems are raci,0,,0
the early bird takes a nap before noon,0,The early bird takes a nap before noon.,the early bird takes a nap before noon,0,,0
if you said more today on the internet about duck dynasty than about the you're a useless whigger,1,"If you said more today on the internet about Duck Dynasty than about the #NorthwestImperative, you're a useless whigger.",if you said more today on the internet about duck dynasty than about the northwestimperative you are a useless whigger,0,,0
you got old bitches upgrade them,1,RT @Shyswag69: @torres5salvador you got old bitches upgrade them,you got old bitches upgrade them,0,,0
these hoes ain't loyal,1,RT @DustinHooper225: These hoes ain't loyal,these hoes is not loyal,0,,0
"hahahaha ""move bitch get out the wayyyeee",1,"@NicoleJeanxoxo @A_Mitchellll13 hahahaha ""move bitch get out the wayyyeee""",hahahaha move bitch get out the wayee,1,wayyyeee→waye[elongation],1
praying today's m and g pictures don't come out yellow,0,RT @AustinToEllen: Praying today's m&amp;g pictures don't come out yellow &#128591;,praying todays m g pictures do not come out yellow,0,,0
best asian massage on the park slope --top rated spa 718-622-0221,0,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/pxwlZkWaCs,best asian massage on the park slope top rated spa seven one eight six two two zero two two one twenty four,0,,0
bullying doesn't exist.bitch ass people exist if you don't stand the fuck up for yourself and stop being a pussy,1,RT @Guwopp1017: Bullying doesn't exist.....BITCH ASS PEOPLE EXIST! If you don't stand the fuck up for yourself &amp; stop being a pussy!,bullying does not exist bitch ass people exist if you do not stand the fuck up for yourself and stop being a pussy,0,,0
seem like dese bitches ain't loyal,1,RT @lildurk_: Seem like dese bitches ain't loyal,seem like dese bitches is not loyal,0,,0
bitch change draws,1,RT @RihannaHasAids: bitch change draws http://t.co/k4frL2Vw7e,bitch change draws,0,,0
he busted a bitch n rolled stop sign hahahaha,1,RT @Neeksbethatguy: @JesseCanon @tonykivarkis @zramsin @Dirrttyydan @NaramY22 he busted a bitch n rolled stop sign hahahaha,he busted a bitch and rolled stop sign hahahaha,0,,0
shit he prolly is other than that everybody else trash,1,@JukeJuke_9 shit he prolly is other than that everybody else trash,shit he prolly is other than that everybody else trash,0,,0
its swag bitch aha,1,@_ElenaRaquel_ its swag bitch aha,it is swag bitch aha,0,,0
all hoes lie,1,RT @CobeNotKobe: All hoes lie.......,all hoes,0,,0
bitch i'm eating you are so blocked stop white people,1,"bitch I'm eating!!!!!! you are so blocked!!! RT @MayaAngelouFRO: STOP WHITE PEOPLE 2014 http://t.co/u7oXMK8nup""",bitch i am eating you are so blocked stop white people two thousand fourteen,0,,0
i feel like i should be sad and all that pussy shit but i am just so pissed right now idk what i'm feeling,1,I feel like I should be sad and all that pussy shit but I am just so pissed right now idk what I'm feeling.,i feel like i should be sad and all that pussy shit but i am just so pissed right now i do not know what i am feeling,0,,0
i'm the type to put that bitch in a river so you can gtf out my locations lol,1,@TheRealDiamondJ I'm the type to put that bitch in a river so you can gtf out my locations lol,i am the type to put that bitch in a river so you can gtf out my locations laughing out loud,0,,0
"""let's kill cracker babies wtf did i just hear wow",1,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW.",let us kill cracker babies what the fuck did i just hear wow,0,,0
it don't matter where we at this nigga always tryna holla at a bitch where y'all at,1,&#8220;@gmail_candy: It don't matter where we at this nigga always tryna holla at a bitch &#128514;&#128514; @tranSactionRAP&#8221; where. y'all. at?,it do not matter where we at this nigga always trying to holla at a bitch where you all at,0,,0
shylock and wongs incidents of democrat bigotry in weeks media mum via,0,Shylock &amp; Wongs: 3 Incidents of Democrat Bigotry In 3 Weeks - Media Mum http://t.co/iX03VrK0KI via @BreitbartNews,shylock and wongs three incidents of democrat bigotry in three weeks media mum via,0,,0
you're also a better little bitch,1,@josh_sclafani You're also a better little bitch,you are also a better little bitch,0,,0
you know how these hoes be,1,You know how these hoes be! http://t.co/EdHIfNsrfR,you know how these hoes be,0,,0
alexa's phone gave us colors and julia got yellow i'm dying,0,Alexa's phone gave us colors and Julia got yellow I'm dying #racistaf,alexas phone gave us colors and julia got yellow i am dying racistaf,0,,0
okay cool then i'm not the only one mine is black and fuzzy and it has pink on the back in all sparkles hallelujah,0,@syd_renae okay cool then I'm not the only one &#128520; mine is black and fuzzy and it has PINK on the back in all sparkles &#128081; hallelujah,okay cool then i am not the only one mine is black and fuzzy and it has pink on the back in all sparkles hallelujah,0,,0
fran is a hillbilly virginia mountain man who has pre-1800s white anglo-saxon beliefs,0,@frankthetank215 @Jim_McCloskey Fran is a hillbilly Virginia mountain man who has pre-1800s white Anglo-Saxon beliefs #frankensteinMD #kikme,fran is a hillbilly virginia mountain man who has pre s white anglo saxon beliefs frankensteinmd kikme,0,,0
the fck dem bitches always got sum shit wit them,1,@DeeMayweather the fck? dem bitches always got sum shit wit them....,the fuck them bitches always got sum shit wit them,0,,0
hell nahh if a bitch had respect for her own damn body she wouldn't wear that shit in public,1,"RT @TrueNovacane: @UFUCKIN_RIGHT hell nahh. If a bitch had respect for her own damn body, she wouldn't wear that shit in public.",hell nahh if a bitch had respect for her own damn body she would not wear that shit in public,0,,0
nigga doing the duggy on dem dead hoes lol,1,@cj_menaa1 &#128553;&#128553;&#128514;&#128514; nigga doing the duggy on dem dead hoes lol,nigga doing the duggy on them dead hoes laughing out loud,0,,0
who remembers this bitch,1,RT @ImaGrumpyCat: who remembers this bitch? &#128514;&#128557; http://t.co/P9MmBzqMiH,who remembers this bitch,0,,0
coke and white bitches,1,Coke and white bitches.,coke and white bitches,0,,0
fit lads nice gear these scally lads n trainers would get it,0,"""@rugbysocklad: Fit lads! Nice gear! http://t.co/ThnXX1lC1M"" these scally lads n trainers would get it",fit lads nice gear these scally lads and trainers would get it,0,,0
anybody want any sugar maple saplings i have about popping up in heidi's hillbilly beach me and emm's planted two friday,0,anybody want any sugar maple saplings? I have about 50 popping up in Heidi's hillbilly beach. me and emm's planted two Friday.,anybody want any sugar maple saplings i have about fifty popping up in heidis hillbilly beach me and emms planted two friday,0,,0
nipple piercings are suppose to be a girls personal secret but y'all hoes get them just to take a selfie,1,RT @jessmelkum: Nipple piercings are suppose to be a girls personal secret. But y'all hoes get them just to take a selfie,nipple piercings are suppose to be a girls personal secret but you all hoes get them just to take a selfie,0,,0
yesterday was an all around good day great day saw a lot of people i havent seen in a while and got high as giraffe pussy,1,Yesterday was an all around good day. Great day. Saw a lot of people i havent seen in a while and got high as giraffe pussy #Easter420,yesterday was an all around good day great day saw a lot of people i have not seen in a while and got high as giraffe pussy easter,0,,0
they were taking a picture and i saw a bird fly past and i was like oh bird,0,"They were taking a picture and I saw a bird fly past and I was like, oh bird! @HeidyPalma21",they were taking a picture and i saw a bird fly past and i was like oh bird,0,,0
i want to destroy any chance my opponent has of winning,0,I want to destroy any chance my opponent has of winning!,i want to destroy any chance my opponent has of winning,0,,0
now fuck that stfu shit how a bout u stop being a little bitch and get it round cuz u avoiding question u fucking scarry,1,@Midnight_Snacka now fuck that stfu shit how a bout u stop being a little bitch and get it round cuz u avoiding question u fucking scarry,now fuck that stfu shit how a bout you stop being a little bitch and get it round because you avoiding question you fucking scarry,0,,0
i'm trash,0,@idkconstancio I'm trash,i am trash,0,,0
gucci you conceited bitch i might be 'cause my chain so bright stevie wonder might see,1,"RT @GucciManeQuote1: Gucci, you conceited bitch I might be
'Cause my chain so bright, Stevie Wonder might see",gucci you conceited bitch i might be because my chain so bright stevie wonder might see,0,,0
who's downie like a brownie brunch need mimosas,0,who's downie like a brownie 4 brunch? Need mimosas,whos downie like a brownie four brunch need mimosas,0,,0
california has gangs because california is trash,0,California has gangs because California is trash.,california has gangs because california is trash,0,,0
you're a faggot if you use the cover your face emoji,1,You're a faggot if you use the cover your face emoji,you are a faggot if you use the cover your face emoji,0,,0
dreamed i was eating a brownie and started salivating and woke up almost coughing myself to death today is a struggle,0,Dreamed I was eating a brownie and started salivating and woke up almost coughing myself to death. Today is a struggle.,dreamed i was eating a brownie and started salivating and woke up almost coughing myself to death today is a struggle,0,,0
yeah but sting was already a proven draw this is apples and oranges he signs people with the sole purpose of burying them,0,"@petehelm yeah, but Sting was already a proven draw. this is apples and oranges. he signs people with the sole purpose of burying them.",yes but sting was already a proven draw this is apples and oranges he signs people with the sole purpose of burying them,0,,0
not ya grandma brownies wink wink,0,"Not ya grandma brownies, wink wink http://t.co/pZPI8RUQ4F",not you grandma brownies wink wink,0,,0
i want to devastate the leaderboard with my skills,0,I want to devastate the leaderboard with my skills.,i want to devastate the leaderboard with my skills,0,,0
kanyeeeeeee is just a yard ape acting idiot!just stupid,0,Kanyeeeeeee is just a yard ape acting idiot!just stupid...,kanyee is just a yard ape acting idiot just stupid,2,kanyeeeeeee→kanye[elongation]; idiot!just→idiotijust[special_char],1
i done went wit a hoe before frfr so who am i to judge,1,RT @YunGMiGo: &#128557;&#128557;&#128557;&#128514;&#128514;RT @Shane_A1: I done went wit a hoe before frfr so who am I to judge,i done went wit a hoe before frfr so who am i to judge,0,,0
wait what $65 a random number for some pussy,1,RT @CreepGawddess: Wait what?? RT @SoulfulBrotha: $65 a random number for some pussy.,wait what sixty five dollars a random number for some pussy,0,,0
without serge the bird chirps the sun burns the grass grows the world turns the moon glows the river flows but i die without serge,0,"Without serge, the bird chirps. The sun burns, the grass grows, the world turns. The moon glows, the river flows. But I die without serge.",without serge the bird chirps the sun burns the grass grows the world turns the moon glows the river flows but i die without serge,0,,0
i went to see this is where i leave you at a movie theater with tables and real food it was fun i ordered a brownie dessert :p,0,"I went to see This is Where I Leave You, at a movie theater with tables and real food! It was fun. I ordered a brownie dessert. :P",i went to see this is where i leave you at a movie theater with tables and real food it was fun i ordered a brownie dessert p,0,,0
hide ur bitches or else,1,RT @PRAYINGFORHEAD: hide ur bitches or else http://t.co/MLswmlArKf,hide your bitches or else,0,,0
when did it become cool to ne stupid this teabagger debate is slim on facts at best,0,When did it become cool to ne stupid? This teabagger debate is slim on facts at best.,when did it become cool to ne stupid this teabagger debate is slim on facts at best,0,,0
the p72 derek jeter used to hit the walk-off single in his final stadium at-bat (images via htt&,0,RT @sluggernation: The P72 Derek Jeter used to hit the walk-off single in his final @Yankee Stadium at-bat. (Images via @mlb_authentic) htt&#8230;,the p derek jeter used to hit the walk off single in his final stadium at bat images via,0,,0
do you want to hear the truth or are you only looking to hear what makes you feel all warm and fuzzy inside i choose truth&,0,RT @TalibKweli: Do you want to hear the truth or are you only looking to hear what makes you feel all warm and fuzzy inside? I choose truth&#8230;,do you want to hear the truth or are you only looking to hear what makes you feel all warm and fuzzy inside i choose truth,0,,0
third party keyboards on ios trash,0,third party keyboards on iOS 8 trash,third party keyboards on ios eight trash,0,,0
gimmmmmie a hoodrat bitch,1,RT @PETTYfcknANN: gimmmmmie a hoodrat bitch,gimie a hoodrat bitch,1,gimmmmmie→gimie[elongation],1
i'm hun-gry,0,I'm Hun-gry,i am hun gry,0,,0
derek jeter and the present paul konerko with a retirement gift watch,0,"RT @MLBFanCave: Derek Jeter and the @Yankees present Paul Konerko with a retirement gift.

WATCH: http://t.co/St6QGJy0j6 http://t.co/7zBGvH&#8230;",derek jeter and the present paul konerko with a retirement gift watch,0,,0
"i hate bees man they be like ""buzz buzz bitch and i'm like ""nah man i ain't done shit to you",1,"RT @ClintSwiftness: I hate bees man. They be like 
""Buzz buzz bitch"" and I'm like 
""Nah man I ain't done shit to you""",i hate bees man they be like buzz buzz bitch and i am like no man i is not done shit to you,0,,0
still waiting for oomf to hit that hoe lololol,1,Still waiting for oomf to hit that hoe lololol,still waiting for oomf to hit that hoe lololol,0,,0
weeknd make muzik for the hoes b im tryna meet these women he be talkin bout,1,"@CarelessOne92 weeknd make muzik for the hoes b, im tryna meet these women he be talkin bout",weeknd make muzik for the hoes b i am trying to meet these women he be talking bout,0,,0
bro i swear to god i was just bout to txt you dex about these hoes,1,@shefeelsD_Payne @CallemGT bro I swear to god I was just bout to txt you Dex about these hoes,brother i swear to god i was just bout to txt you dex about these hoes,0,,0
don't you have a trash can,0,@UniversionRBLX Don't you have a trash can?,do not you have a trash can,0,,0
